start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,mina,maxa
1533200700,1533201000,1533206400,1533204300,-0.002379029602634323,0.000771568874336547,0.0014992439516133382,1.1620964204545463,-0.0005779554618766225,0.0009212884897367157
1533204300,1533204600,1533207000,1533206100,-0.0019194862789558436,0.0009511201126773181,0.0011812287390039256,1.1614899431818186,-0.0005672276392965969,0.0006140010997073286
1533207600,1533207900,1533214200,1533212700,-0.0015686918950740217,0.0009611042568750576,0.0011753044354838637,1.161038465909091,-0.0005837703445750231,0.0005915340909088407
1533209700,1533210000,1533212100,1533210900,-0.0004973863226208365,0.001369259242797346,0.0015502829912028338,1.1614700568181813,-0.0007666081378301159,0.0007836748533727178
1533210300,1533210600,1533213000,1533212100,-0.0003165908985134717,0.0016635508194529668,0.0014920865102639347,1.1614917045454547,-0.0007101693548388522,0.0007819171554250826
1533209100,1533211500,1533216900,1533215400,-0.0006802271678137753,0.0015375320257366737,0.0016139824046929707,1.1614086363636356,-0.0007603900293257748,0.0008535923753671959
1533209400,1533211800,1533218100,1533216300,-0.0005715340286783972,0.001338736023072093,0.0015761151026393526,1.1614576704545454,-0.000775968475073352,0.0008001466275660007
1533210600,1533213900,1533222300,1533219900,-0.0001760795436322333,0.0012214230160759731,0.0015328801319655528,1.1615391477272738,-0.0006681074046914093,0.0008647727272741434
1533214200,1533214500,1533218100,1533216300,-3.4090909076916426e-05,0.0012695735574463221,0.0016776240469213023,1.1615029545454547,-0.000853672434017696,0.0008239516129036062
1533214500,1533214800,1533219300,1533217200,-9.721590878769027e-05,0.0014919361917658611,0.0016495232404678273,1.1614885795454533,-0.0008570947214072433,0.000792428519060584
1533214800,1533215100,1533219000,1533217500,-0.00019647727019964366,0.0017276036814727904,0.0016053359237534525,1.1614405113636361,-0.0008416207478007021,0.0007637151759527505
1533215100,1533215400,1533219300,1533217800,-0.00019784090651001946,0.0015959536325120434,0.0016047288856304576,1.1614498295454547,-0.0008577255865107603,0.0007470032991196973
1533215400,1533215700,1533219600,1533218100,-0.0001568749987129486,0.0014801718597808689,0.0016229653225807183,1.1614775000000002,-0.0008769774193550539,0.0007459879032256644
1533215700,1533216000,1533221100,1533218700,-9.556818152926564e-05,0.0012435840136744932,0.00165025674486734,1.1615290909090903,-0.0009095016129035294,0.0007407551319638106
1533216000,1533216300,1533220500,1533218700,-2.8579545446207164e-05,0.0011253887248251835,0.00168007749266879,1.1615903977272728,-0.0009453670821112858,0.0007347104105575042
1533218400,1533219900,1533224400,1533223200,0.0010099428384425188,0.0007983554680799791,0.0018435302419354427,1.162311534090909,-0.0009451211510264513,0.0008984090909089915
1533221700,1533222000,1533223800,1533222900,0.0011722721902851973,0.0009675865339229124,0.0015317935483871636,1.1626180113636362,-0.0008691304252197352,0.0006626631231674285
1533222300,1533222600,1533225000,1533224100,0.0005797726623109367,0.0007849981922168568,0.0016704020527857954,1.1623380113636361,-0.0008913899560114613,0.0007790120967743341
1533220500,1533223800,1533231300,1533228900,0.0015022715971499132,0.0010064589600442219,0.001500735483870841,1.1627323863636352,-0.0007093095307933783,0.0007914259530774626
1533220800,1533224100,1533230400,1533228600,0.0014913625306845583,0.0010568046969025742,0.0014998064516127663,1.1627444318181817,-0.0006828746334315561,0.0008169318181812102
1533224400,1533224700,1533229200,1533227700,-0.001191476708913531,0.0022417172293436025,0.0015912778592376497,1.1614217613636362,-0.0007364299853370948,0.0008548478739005549
1533224700,1533225000,1533229500,1533228000,-0.0013668173306587692,0.0024221177849191103,0.0014474727272724942,1.1613234659090912,-0.0006345749999994955,0.0008128977272729987
1533225000,1533225300,1533229800,1533228300,-0.0015232942763136292,0.00228054063029206,0.001391676246334157,1.1612321022727274,-0.0006274112170085732,0.0007642650293255837
1533225300,1533225600,1533230100,1533228600,-0.0016135781450608302,0.0023062117961163194,0.0013040443548397462,1.1611660227272742,-0.0005810861436954262,0.00072295821114432
1533225600,1533225900,1533230400,1533228900,-0.001701589266823989,0.0017845580213244972,0.001275312903226178,1.161090454545455,-0.000588458064516173,0.0006868548387100049
1533225900,1533226200,1533231900,1533229800,-0.0016522712237039665,0.0010159470464713733,0.0012914129032257726,1.1610813636363635,-0.0006153571847504846,0.000676055718475288
1533232200,1533232500,1533235500,1533234000,-0.000995908761649912,0.0015696466061630447,0.0013862111436950153,1.1606632954545455,-0.0006613980938416253,0.00072481304985339
1533232500,1533232800,1533236400,1533234900,-0.0012206812118848464,0.0018114181741034985,0.0012373029325510741,1.1605246590909088,-0.0005219913489734473,0.0007153115835776269
1533233100,1533233400,1533237300,1533235800,-0.00153801015092862,0.0027544267063851495,0.0010104230938408909,1.1602925568181812,-0.00032601876832813573,0.0006844043255127552
1533233400,1533233700,1533237600,1533236100,-0.0016364758118709354,0.002825168947875663,0.001025775513195857,1.1601917613636359,-0.00035053907624630124,0.0006752364369495556
1533233700,1533234000,1533237900,1533236400,-0.001726589193372818,0.002741560226034317,0.0010408143695009153,1.160102329545454,-0.000387073533724176,0.0006537408357767394
1533234000,1533234300,1533238200,1533236700,-0.0017938617121826322,0.0026173959002634833,0.0010618812316709914,1.1600274431818176,-0.00043452236070344873,0.0006273588709675426
