start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,isgood,state,mina,maxa
686,687,700,694,3.416666665193022e-05,0.0014039687785617194,0.00012989999999961198,1.1640633333333328,False,0,-3.906666666712688e-05,9.083333333248511e-05
695,701,719,714,-0.00020249999723240562,0.0006589541708163217,0.00020220000000007233,1.1637425,True,-1,-1.3628571428423445e-05,0.00018857142857164888
725,731,745,742,0.00010333333296510995,0.0006000892670791393,0.0001973904761904599,1.1639966666666666,True,-1,-6.453333333330313e-05,0.00013285714285715677
777,778,792,785,-0.00030083332425931896,0.0007581300011108045,0.0007550357142862785,1.164048333333333,False,0,-0.0002533690476192119,0.0005016666666670666
812,813,830,824,3.166666665540107e-05,0.0018406210900995406,0.0005864857142859936,1.1622383333333333,True,-1,-0.00030577142857180384,0.00028071428571418977
813,814,836,830,-6.249999991958436e-05,0.0015263510505290822,0.0006445714285717941,1.1621174999999997,True,-1,-0.0002788571428577136,0.0003657142857140805
818,822,840,835,0.0005716666043916762,0.0009414801364389821,0.0007694333333332759,1.162428333333333,False,0,-0.00030443333333333826,0.0004649999999999377
819,825,843,838,0.0006058332592116177,0.0014956036212020005,0.0009020571428563073,1.1624191666666663,True,-1,-0.00033158095238063014,0.0005704761904756772
820,826,845,840,0.00042416664122857893,0.0016155353714114576,0.0008826523809522247,1.1623483333333335,True,-1,-0.0002586047619048948,0.0006240476190473299
833,834,843,839,-0.0010699995916536285,0.0009471051914327868,0.00021485714285731207,1.1596774999999997,False,0,-4.0928571428917597e-05,0.00017392857142839446
834,835,844,840,-0.0009024997549686297,0.0016279418524962812,0.00026482857142829275,1.1596350000000002,False,0,-0.00010554285714226453,0.00015928571428602822
835,836,847,843,-0.0006558332393051121,0.0023010917201791064,0.00032206190476165904,1.159655833333333,False,0,-0.00013634761904742553,0.00018571428571423354
836,837,849,844,-0.0005583332753152291,0.002706723124138814,0.00035588571428597505,1.1596408333333335,False,0,-0.00016529047619036065,0.0001905952380956144
837,838,850,845,-0.0005141666213574164,0.002770701951073253,0.0003740571428568984,1.1595666666666666,False,0,-0.00014489047619061778,0.0002291666666662806
841,842,858,853,-0.0015483320960427943,0.002647982983268521,0.00045424761904759407,1.1583983333333336,False,0,-0.00015258095238117157,0.0003016666666664225
842,843,858,853,-0.0013291658839275937,0.0026853150733768174,0.0004958571428569592,1.158384166666667,False,0,-0.00010002380952403025,0.0003958333333329289
843,844,860,855,-0.0008508331280207729,0.0026523808062506615,0.0005440500000002668,1.158508333333334,False,0,-0.0001332166666659074,0.00041083333333435945
844,845,861,856,-0.00014999999887465042,0.0025526197390532716,0.000738257142857286,1.15877,False,0,-0.00013825714285690797,0.000600000000000378
846,847,862,857,0.0006441665775669997,0.001360011671629487,0.0004506904761909336,1.1590808333333331,True,-1,-0.0002874761904765144,0.0001632142857144192
849,854,871,867,-0.0006466665765266078,0.0010393326334374746,0.0006176000000000226,1.1584341666666667,True,-1,-0.0002765285714285959,0.0003410714285714267
860,861,875,871,-0.00018249999797495441,0.001054317348836083,0.00039357142857116223,1.1579274999999996,False,0,-0.00015535714285713986,0.00023821428571402237
862,863,878,873,-0.0002716666599831968,0.0003215832052513457,0.000504214285714224,1.1578991666666667,False,0,-0.00021219047619035702,0.00029202380952386697
866,867,882,876,-0.000311666656575348,0.0009511804958262604,0.0005255809523810661,1.1576516666666667,False,0,-0.00016986666666682913,0.000355714285714237
867,868,887,881,-0.00038916664701881156,0.0010903470230698784,0.0004826714285717948,1.1576041666666674,False,0,-0.00019040952380951383,0.000292261904762281
868,869,889,882,-0.0001741666649064158,0.0012715431514060405,0.0005713999999999064,1.1576916666666663,False,0,-0.0002072333333336296,0.00036416666666627684
870,871,889,883,0.0003508333189410844,0.0015849137490703536,0.0003479523809522433,1.1578841666666675,False,0,-1.2119047619707436e-05,0.00033583333333253584
872,873,889,882,0.0003274999882921177,0.0013598889092435301,0.0005937857142856461,1.1579750000000004,False,0,-0.0002552142857143469,0.0003385714285712993
873,874,888,882,0.0005883332654525117,0.0013884910292173071,0.0006353238095237046,1.158201666666667,False,0,-0.0003648476190477723,0.0002704761904759323
874,875,889,882,0.0012566660051526568,0.0019763625017867365,0.0009133714285717786,1.1586983333333332,False,0,-0.0004717047619048831,0.0004416666666668956
886,898,908,905,0.00035083331893864193,0.0011124548596885692,0.00043329047619031333,1.1582366666666664,False,0,-0.0001795999999998088,0.00025369047619050455
901,902,923,917,0.0029033251756427256,0.0008969679240210982,0.0008333809523811197,1.1625141666666667,True,-1,-0.00029850000000004146,0.0005348809523810782
925,926,939,934,0.00010333333296577608,0.00394038340640724,0.00032681904761902917,1.1611791666666669,False,0,-0.00011693809523808163,0.0002098809523809475
926,927,940,935,0.0002766666596076044,0.003915444991259382,0.0003190190476190047,1.1612908333333336,False,0,-8.223333333346793e-05,0.00023678571428553674
928,929,942,937,0.00038249998134612915,0.003348022417631891,0.00036058571428553953,1.161485,False,0,-0.00013308571428549242,0.0002275000000000471
929,930,943,938,0.0003783333152820949,0.0026041743282315425,0.0003937523809523569,1.1614716666666667,True,-1,-0.00010732380952378052,0.00028642857142857636
930,931,946,941,0.0002874999920787725,0.0021303833757937195,0.0004527714285715057,1.1614475000000002,True,-1,-0.00012705714285724312,0.00032571428571426253
931,932,948,943,3.1666666657177424e-05,0.0014286021591997805,0.0004234714285710295,1.161345833333334,True,-1,-0.00010120952380899606,0.0003222619047620334
934,937,953,949,-0.0003274999882910075,0.001208721716521298,0.00023785714285704527,1.1611775000000002,False,0,-7.892857142852704e-05,0.00015892857142851824
935,939,956,952,-0.0002833333257525116,0.0017091831286475312,0.00028028571428586615,1.161120833333333,True,-1,-9.25476190478891e-05,0.00018773809523797702
936,941,959,954,-0.0003366666539473313,0.00208514360339597,0.00030085714285725816,1.1610291666666668,True,-1,-9.240476190524039e-05,0.0002084523809520178
937,943,961,956,-0.000449166636460053,0.002281601004081162,0.0002430333333331891,1.160936666666667,False,0,-7.053333333350232e-05,0.0001724999999996868
938,944,962,957,-0.0004899999607835518,0.002455232536798833,0.00021059999999999411,1.1608650000000003,False,0,-6.560000000015443e-05,0.0001449999999998397
940,948,970,964,-0.0003333333209869523,0.002298561416858218,0.00023963809523779744,1.1608358333333337,False,0,-7.547142857149857e-05,0.00016416666666629887
942,952,978,970,6.083333325791285e-05,0.0017715977112575108,0.00016467857142862918,1.1609866666666666,False,0,-4.1345238095154e-05,0.00012333333333347518
959,960,970,963,7.833333317207153e-05,0.001588220476434901,0.0002561523809522903,1.1608991666666661,False,0,-7.698571428611524e-05,0.0001791666666661751
960,961,971,964,0.00020083333063373286,0.0013138122624670016,0.00011271428571391073,1.1609466666666668,True,-1,-5.199999999982996e-05,6.0714285714080773e-05
961,962,973,966,0.00016833333174424343,0.00101695474138369,0.00013771428571445198,1.160936666666667,True,-1,-5.22380952383994e-05,8.54761904760526e-05
